ebird_scientific_name,ebird_common_name,alternative_scientific_name
Myiothlypis rivularis,Riverbank Warbler,Myiothlypis mesoleuca
Myrmotherula axillaris,White-flanked Antwren,Myrmotherula luctuosa
Niltava vivida,Vivid Niltava,Niltava oatesi
Nucifraga caryocatactes,Spotted Nutcracker,Nucifraga hemispila
Oenanthe bottae,Red-breasted Wheatear,Oenanthe frenata
Oenanthe heuglini,Heuglin's Wheatear,Oenanthe heuglinii
Oenanthe oenanthe,Northern Wheatear,Oenanthe seebohmi
Onychorhynchus coronatus,Royal Flycatcher,Onychorhynchus mexicanus
Onychorhynchus coronatus,Royal Flycatcher,Onychorhynchus occidentalis
Onychorhynchus coronatus,Royal Flycatcher,Onychorhynchus swainsoni
Xiphorhynchus guttatus,Buff-throated Woodcreeper,Xiphorhynchus guttatoides
Xiphorhynchus erythropygius,Spotted Woodcreeper,Xiphorhynchus aequatorialis
Xenops minutus,Plain Xenops,Xenops genibarbis
Vireolanius leucotis,Slaty-capped Shrike-Vireo,Vireolanius mikettae
Thinornis novaeseelandiae,Shore Plover,Vanellus novaehollandiae
Sakesphorus canadensis,Black-crested Antshrike,Sakesphorus pulchellus
Saltator coerulescens,Greyish Saltator,Saltator olivascens
Sclerurus scansor,Rufous-breasted Leaftosser,Sclerurus cearensis
Setophaga coronata,Yellow-rumped Warbler,Setophaga auduboni
Sheppardia bocagei,Bocage's Akalat,Sheppardia poensis
Sittasomus griseicapillus,Olivaceous Woodcreeper,Sittasomus griseus
Streptopelia chinensis,Spotted Dove,Spilopelia suratensis
Sporophila corvina,Variable Seedeater,Sporophila ophthalmica
Stiphrornis erythrothorax,Forest Robin,Stiphrornis xanthogaster
Sylvietta brachyura,Northern Crombec,Sylvietta leucopsis
Pachyramphus major,Grey-collared Becard,Pachyramphus uropygialis
Passerculus sandwichensis,Savannah Sparrow,Passerculus guttatus
