"city_name","ebird_code","common_name","scientific_name","species_category","number_of_non_zero_frequency","longest_run_of_non_zero_frequency","smallest_precision"
"Hanoi","sibbro1","Silver-breasted Broadbill","Serilophus lunatus","species","10","9","180"
"Hanoi","bwfshr1","Bar-winged Flycatcher-shrike","Hemipus picatus","species","7","7","180"
"Hanoi","jerbaz1","Jerdon's Baza","Aviceda jerdoni","species","8","4","60"
"Hanoi","moutai2","Mountain Tailorbird","Phyllergates cucullatus","species","8","3","100"
"Hanoi","ashbul1","Ashy Bulbul","Hemixos flavala","species","8","3","20"
"Hanoi","gybthr1","Gray-backed Thrush","Turdus hortulorum","species","8","3","20"
"Hanoi","fibflo2","Fire-breasted Flowerpecker","Dicaeum ignipectus","species","8","3","100"
"Hanoi","whssta2","White-shouldered Starling","Sturnia sinensis","species","9","7","180"
"Hanoi","chtsta2","Chestnut-tailed Starling","Sturnia malabarica","species","10","8","60"
"Hanoi","pabfly2","Pale Blue Flycatcher","Cyornis unicolor","species","8","4","60"
"Hanoi","whwmag1","White-winged Magpie","Urocissa whiteheadi","species","9","9","180"
"Hanoi","gyhpar2","Gray-headed Parakeet","Psittacula finschii","species","10","3","20"
"Hanoi","grynig1","Gray Nightjar","Caprimulgus jotaka","species","8","4","60"
"Hanoi","hodhac1","Hodgson's Hawk-Cuckoo","Hierococcyx nisicolor","species","8","4","60"
"Hanoi","gycmin1","Gray-chinned Minivet","Pericrocotus solaris","species","9","7","100"
"Hanoi","whgfly1","White-gorgeted Flycatcher","Anthipes monileger","species","9","7","100"
"Hanoi","larcus1","Large Cuckooshrike","Coracina macei","species","9","5","60"
"Hanoi","blrpit1","Blue-rumped Pitta","Hydrornis soror","species","7","6","180"
"Hanoi","rubcra1","Ruddy-breasted Crake","Zapornia fusca","species","7","3","60"
"Hanoi","blaeag1","Black Eagle","Ictinaetus malaiensis","species","8","4","100"
"Hanoi","punsun1","Purple-naped Spiderhunter","Kurochkinegramma hypogrammicum","species","8","6","180"
"Hanoi","cosowl1","Collared Scops-Owl","Otus lettia","species","8","6","60"
"Hanoi","oripra","Oriental Pratincole","Glareola maldivarum","species","9","3","60"
"Hanoi","lenlau1","Lesser Necklaced Laughingthrush","Garrulax monileger","species","8","3","60"
"Hanoi","grecoc1","Green Cochoa","Cochoa viridis","species","7","3","100"
"Hanoi","rufwoo2","Rufous Woodpecker","Micropternus brachyurus","species","8","8","180"
"Hanoi","larwoo1","Large Woodshrike","Tephrodornis virgatus","species","8","7","100"
"Hanoi","lotthr1","Long-tailed Thrush","Zoothera dixoni","species","7","3","20"
"Hanoi","waterc1","Watercock","Gallicrex cinerea","species","6","3","180"
"Hanoi","brbnee1","Brown-backed Needletail","Hirundapus giganteus","species","6","3","100"
"Hanoi","rbsbab1","Red-billed Scimitar-Babbler","Pomatorhinus ochraceiceps","species","6","3","100"
"Hanoi","scbpar1","Scaly-breasted Partridge","Arborophila chloropus","species","6","3","100"
